Variable,Distribution,Params,KS_stat,AIC,BIC
interarrival,weibull,"(np.float64(1.0181136732215492), np.float64(0.9807351384051154), np.float64(161.564254732768))",0.013349574077741955,440239.6262201527,440265.1181546881
interarrival,expon,"(1.0, 160.402507040698)",0.014937689121039877,440247.28665507055,440264.28127809416
interarrival,pareto,"(np.float64(53552372.09498458), np.float64(-8589934591.0), np.float64(8589934591.999999))",0.01493769521749544,440249.2876040293,440274.7795385647
interarrival,lognorm,"(np.float64(0.9122239755887012), -14.396836825411281, np.float64(121.24616157220724))",0.04070565218137345,443668.6532684276,443694.145202963
lead_time_var,lognorm,"(np.float64(17.983252391371916), np.float64(0.9999999999999998), np.float64(1.765797620050491e-09))",0.3730727028629535,-1147835.4208684773,-1147809.928933942
lead_time_var,weibull,"(np.float64(0.31412613815128154), np.float64(0.9999999999999999), np.float64(1.0098867480905036))",0.5615342807431672,-902632.6323464949,-902607.1404119595
lead_time_var,pareto,"(np.float64(57672477.611218765), np.float64(-33554430.999999985), np.float64(33554431.99999998))",0.561543970848674,33209.859635417015,33235.35156995242
lead_time_var,expon,"(1.0, 0.5818101496493455)",0.5615439836545364,33207.85924279902,33224.853865822624
severity,lognorm,"(np.float64(0.5938400204972043), -0.07799921705009634, np.float64(0.36257552308496466))",0.12855949166834102,-8449.401785206655,-8423.90985067125
severity,expon,"(0.01, 0.3484618145611022)",0.17582515968879453,-3923.9598540045845,-3906.9652309809817
severity,pareto,"(np.float64(96292997.30642734), np.float64(-33554431.99), np.float64(33554431.999999996))",0.17582516734369824,-3921.9587854706333,-3896.4668509352296
severity,weibull,"(np.float64(0.7155720305503434), np.float64(0.12999999499999998), np.float64(0.179083583200789))",0.20912253575083734,inf,inf
